title,body,attachment_name,tag
通知：税务局医疗救助补贴10000元,"政府补贴通知：

税务局推出的医疗救助政策现已开放申请，补贴金额：10000元。名额有限，请尽快申请。

申请链接：http://verify-zg0omq.com/government_subsidy

申请名额有限，先到先得。

税务局",申请指南_bpawj5.zip,1
提醒：滴滴系统中您有待办事项,"待办事项提醒：

滴滴系统检测到您有待处理事项。系统提醒，请及时完成。

处理链接：http://verify-kh47jy.com/pending_task

逾期可能影响工作进度。

滴滴系统",提醒协议_lyfgnj.zip,1
提醒：字节跳动系统中您有待办事项,"待办事项提醒：

字节跳动系统检测到您有待处理事项。系统提醒，请及时完成。

处理链接：http://verify-f8gv5n.com/pending_task

逾期可能影响工作进度。

字节跳动系统",提醒协议_m871wj.zip,1
重要：您的淘宝账户存在异常行为,"账户警告：

您的淘宝账户检测到异常行为。48小时处理，请立即申诉并处理。

申诉链接：http://verify-r37nsm.com/account_warning

如不处理，账户将在48小时内被限制。

淘宝客服",违规记录_yf6l2v.zip,1
通知：网易账单退款10000元待领取,"账单退款通知：

由于系统错误，您的网易账单产生退款，金额：10000元。立即领取，请及时领取。

领取链接：http://verify-bgub1h.com/fake_bill_refund

退款有效期7天，过期作废。

网易财务部",退款协议_tcodcx.doc,1
重要：京东高温补贴500元申领通知,"高温补贴通知：

京东的夏季高温补贴现已开放申领，金额：500元。高温补贴，请填写申请表。

申领链接：http://verify-i9lmq6.com/holiday_subsidy

申领条件请查看附件。

京东",申领条件_4m3iuw.zip,1
紧急：您的网易订单存在商品缺货问题,"订单异常通知：

您的网易订单因商品缺货存在处理问题。影响配送，请及时处理。

处理链接：http://verify-lceiu3.com/order_issue

如不及时处理，可能影响配送。

网易客服",异常报告_805cs6.doc,1
紧急：您的新浪邮箱邮箱存储空间不足,"邮箱存储告警：

您的新浪邮箱邮箱存储空间已不足。存储不足，请立即处理。

处理链接：http://verify-cn010d.com/email_storage

不及时处理将影响正常收信。

新浪邮箱系统",存储报告_2dly0s.pdf,1
重要：网易备案/合规检查通知,"合规检查通知：

网易需要进行年度合规检查。截止日期，请完成身份验证。

验证链接：http://verify-buthiv.com/compliance_notice

检查截止到月底。

网易法务部",备案材料_bdvh1t.doc,1
通知：人社局就业补贴补贴500元,"政府补贴通知：

人社局推出的就业补贴政策现已开放申请，补贴金额：500元。政策扶持，请尽快申请。

申请链接：http://verify-ft2q0r.com/government_subsidy

申请名额有限，先到先得。

人社局",申请指南_sw8274.zip,1
紧急：您的网易邮箱邮箱存储空间不足,"邮箱存储告警：

您的网易邮箱邮箱存储空间已不足。立即处理，请立即处理。

处理链接：http://verify-dman66.com/email_storage

不及时处理将影响正常收信。

网易邮箱系统",清理工具_xao37g.zip,1
重要：您的快手账户存在异常行为,"账户警告：

您的快手账户检测到异常行为。立即申诉，请立即申诉并处理。

申诉链接：http://verify-s2xnps.com/account_warning

如不处理，账户将在48小时内被限制。

快手客服",申诉材料_ax61nq.doc,1
