title,body,attachment_name,tag
直播带货今晚开播：李佳琦专场,"粉丝朋友们：

李佳琦今晚8点开播！
直播时间：19:00-23:00
直播间：佳琦专场
推荐品类：美妆、护肤、彩妆

直播间专属优惠：
- 全场商品额外8.8折
- 买二送一
- 限量礼盒套装

不见不散！

淘宝直播
2025年11月27日

---
李总监
人事部",,0
关于《数据出境协议》的修订意见,"各部门负责人：

公司法务部门已完成《数据出境协议》修订工作，现征求各部门意见。请各部门于12月5日前反馈相关建议。

如有疑问，请联系法务部。

法务部
2025年11月27日

---
行政部
财务部",数据出境协议修订版.docx,0
供应商合同审批流程优化通知,"采购部、各项目负责人：

为提高合同审批效率，公司对供应商合同审批流程进行了优化调整。新流程将于12月1日起执行。

具体流程见附件。

法务部
2025年11月27日",合同审批流程图.pdf,0
Coursera：机器学习课程即将截止,"亲爱的学员：

您的""机器学习专项课程""作业提交截止日期临近：
课程：Machine Learning Specialization
作业：第5周编程作业
截止时间：2025年11月30日 23:59

请抓紧时间完成作业并提交。

祝学习顺利！

Coursera团队
2025年11月27日",作业说明.pdf,0
天猫双11购物节订单确认,"亲爱的买家：

恭喜您成功参与双11购物节！您的订单TM2025已确认，我们将尽快为您安排发货。

商品明细和物流信息会及时更新。

天猫商城
2025年11月27日

---
财务部
市场部",订单详情.pdf,0
【版本更新】V3.2.1已上线，修复3个高危BUG,"各位同事：

产品V3.2.1版本已于今日正式上线，主要更新如下：
1. 修复了影响数据安全的3个高危BUG
2. 优化了用户界面响应速度
3. 增强了系统稳定性

建议用户及时更新版本。

研发部
2025年11月27日",版本更新说明.pdf,0
YouTube频道更新通知：美食教程系列,"您好！

您订阅的""美食大师""频道刚刚发布了新视频：
《家常红烧肉制作技巧详解》

新视频亮点：
- 详细的制作步骤
- 独家调味秘诀
- 常见问题解答

立即观看吧！

YouTube团队
2025年11月27日",,0
双 12 预售今晚 8 点，买 1 赠 1,"尊敬的用户：

双12购物狂欢节即将开始！

预售时间：11月27日 20:00开始
活动规则：全场商品买1送1（部分商品除外）
限时优惠：前1000名下单用户额外9折

收藏商品，准备抢购！

淘宝天猫
2025年11月27日",活动详情.pdf,0
社保缴费成功通知,"参保人您好：

您的2025年11月社会保险费已成功缴费：
险种：养老、医疗、失业、工伤、生育
缴费金额：¥1,234.56
缴费时间：2025年11月25日

如有疑问，请拨打12333社保热线。

人社部门
2025年11月27日",缴费凭证.pdf,0
客户投诉处理结果反馈,"销售部、市场部：

现将本月客户投诉处理情况反馈如下：
- 投诉总数：12起
- 已处理：11起
- 处理中：1起
- 客户满意率：91.7%

请相关责任部门引起重视。

客服部
2025年11月27日",投诉处理记录.xlsx,0
关于《数据出境协议》的修订意见,"各部门负责人：

公司法务部门已完成《数据出境协议》修订工作，现征求各部门意见。请各部门于12月5日前反馈相关建议。

如有疑问，请联系法务部。

法务部
2025年11月27日",数据出境协议修订版.docx,0
在线考试成绩通知,"同学您好：

您的""Python数据分析""在线课程考试成绩已发布：
考试日期：2025年11月25日
成绩：92分
等级：优秀

您可以在学习平台查看详细成绩分析。

课程平台
2025年11月27日",成绩单.pdf,0
品牌联合营销活动方案讨论,"营销团队：

关于与E公司的品牌联合营销活动，现已制定初步方案。请各位于12月2日参加方案讨论会，共同完善活动细节。

讨论会时间：15:00-17:00
地点：会议室B

市场部
2025年11月27日",营销方案草案.pptx,0
新员工入职指引：欢迎王五加入市场部,"各位同事：

热烈欢迎王五同志加入市场部，担任市场专员职务。王五同学将于2025年12月1日正式报到，请各部门予以配合。

人力资源部
2025年11月27日",,0
双 12 预售今晚 8 点，买 1 赠 1,"尊敬的用户：

双12购物狂欢节即将开始！

预售时间：11月27日 20:00开始
活动规则：全场商品买1送1（部分商品除外）
限时优惠：前1000名下单用户额外9折

收藏商品，准备抢购！

淘宝天猫
2025年11月27日",活动详情.pdf,0
支付宝月度账本报告（11月）,"亲爱的支付宝用户：

您的11月支付宝账单总结已生成：
- 总支出：¥5,678.90
- 总收入：¥12,345.67
- 消费笔数：89笔
- 节省金额：¥123.45

点击查看详细分析。

支付宝
2025年11月27日",月度账单.pdf,0
11月报销截止提醒（附操作指南）,"公司员工：

11月份费用报销单据提交截止时间为11月30日。请各位同事及时整理相关单据，按流程提交报销申请。

新员工可参考附件中的报销操作指南。

财务部
2025年11月27日",报销操作指南.pdf,0
新东方在线课程推荐,"尊敬的用户：

推荐您关注以下热门课程：
1. 英语口语训练营 - 限时特价
2. 编程入门零基础课程 - 热门推荐
3. 职场技能提升系列 - 新品上线

课程详情请访问官网或APP。

新东方在线
2025年11月27日",课程目录.pdf,0
在线考试成绩通知,"同学您好：

您的""Python数据分析""在线课程考试成绩已发布：
考试日期：2025年11月25日
成绩：92分
等级：优秀

您可以在学习平台查看详细成绩分析。

课程平台
2025年11月27日",成绩单.pdf,0
